,city,street,district,Reference and listing Date,contract,type,surface,rooms,floor,total building floors,Car parking,availability,other features,price (k€),condominium fees,deposit,year of construction,condition,heating,Air conditioner,Energy Efficiency
421,Milan,Via Val Leventina,San Siro,1293 - 03/01/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,50,2,3,3 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconySingle tv systemFurnishedWindow frames in triple glass / PVCDouble exposure,1600.0,€ 60/month,Not indicated,2021,Excellent / Refurbished,"Independent, floor heating, powered by methane","Independent, cold/hot","A4≥ 3,51 kWh/m² year"
1573,Milan,Via Canonica,Paolo Sarpi,65716 - 03/01/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,65,2,5,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureBalconyFull day conciergeCentralized TV systemFurnishedWindow frames in glass / wood,1600.0,€ 250/month,€ 3,1960,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",G199.36 kWh/m² year
488,Milan,Via Vignola,Bocconi,vignola4duecamere - 02/29/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,70,3,1,3 floors,,Available,Security doorInternal exposureSingle tv systemFurnishedWindow frames in double glass / PVC,1600.0,€ 150/month,"€ 4,800",1970,Excellent / Refurbished,Central,Independent,"G≥ 3,51 kWh/m² year"
493,Milan,Viale Piave,Piave - Tricolore,VIALE PIAVE - 01/17/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,80,2,1,6 floors,,Available,Optic fiberSecurity doorExternal exposureBalconyHalf-day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in glass / wood,1600.0,€ 200/month,Not indicated,1970,Good condition / Liveable,"Central, with radiators","Independent, cold/hot",
483,Milan,Piazzale Siena,Piazzale Siena,SIENA - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,80,3,6,7 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorBalconyTerraceCentralized TV systemPartially furnishedCellarShared gardenWindow frames in double glass / PVCDouble exposure,1600.0,€ 250/month,"€ 4,800",1980,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",
824,Milan,Via Lodovico Montegani,Cermenate - Abbiategrasso,EK-107785923 - 02/21/2024,Rent,Apartment | Full ownership,80,3,2,5 floors,,Available,Security doorBalconyFull day conciergeCentralized TV systemFurnishedDouble exposure,1600.0,No condominium fees,Not indicated,1950,,"Central, with radiators, powered by methane","Independent, cold/hot",G≥ 175 kWh/m² year
1610,Milan,Piazza Sei Febbraio,Sempione,RIF-1511 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,82,3,1,7 floors,,Available,Security doorBalconyFull day conciergePartially furnishedShared gardenWindow frames in double glass / woodDouble exposure,1600.0,€ 170/month,Not indicated,1900,Good condition / Liveable,"Central, with radiators, gas powered","Central, cold",F175 kWh/m² year
244,Milan,Via Inverigo,Certosa,ATMZ3.1.LOC - 03/06/2024,"Rent, transitory - Download brochure",Apartment | Full ownership | Stately property class,77,2,3,7 floors,1 in shared parking,Available from 01/04/2024,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureClosetBalconyTerraceFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1600.0,€ 180/month,"€ 4,800",2023,New / Under construction,"Central, floor heating, powered by heat pump","Central, cold",A434.11 kWh/m² year
853,Milan,Corso Lodi,Lodi - Brenta,Rif. N282276 - 02/26/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,2,4 floors,,Available,Electric gateOptic fiberSecurity doorBalconyCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,1600.0,€ 50/month,Not indicated,1960,Good condition / Liveable,"Independent, with radiators",,C≥ 175 kWh/m² year
1734,Milan,Via Gaspare Aselli,Città Studi,Trilo Affitto Aselli 10 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,80,3,1,5 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeSingle tv systemFurnishedWindow frames in double glass / PVCDouble exposure,1600.0,€ 130/month,"€ 4,800",1930,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot","G≥ 3,51 kWh/m² year"
1752,Milan,Via Vignola,Bocconi,Vignola4 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,80,2,1,4 floors,,Available,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1600.0,€ 150/month,Not indicated,1980,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",G≥ 175 kWh/m² year
916,Milan,Via Principe Eugenio,Cenisio,Principe Eugenio 3 57 mq piano 3 (Rif. P3C) - 02/27/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,57,2,3,7 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureFull day conciergeCentralized TV systemFurnishedWindow frames in triple glass / metal,1600.0,€ 200/month,"€ 4,800",2023,New / Under construction,"Central, floor heating","Central, cold/hot",A369.77 kWh/m² year
61,Milan,Via Bianca Ceva,Bisceglie,CEVA 30 - 02/26/2024,"Rent, agreed",Apartment | Full ownership | Stately property class,106,3,3,8 floors,1 in garage/box,Available,Electric gateVideo entryphoneSecurity doorExternal exposureTerraceFull day conciergeCentralized TV systemOnly Kitchen FurnishedCellarShared gardenWindow frames in double glass / PVC,1612.0,€ 166/month,"€ 4,837",2022,New / Under construction,"Central, floor heating, powered by heat pump","Central, cold/hot",A+37.61 kWh/m² year
1024,Milan,Viale Piceno,Plebisciti - Susa,60870729 - 03/06/2024,Rent,Apartment | Full ownership,91,2,5,6 floors,,Available,BalconyFull day conciergeFurnishedCellar,1620.0,€ 475/month,Not indicated,1930,Good condition / Liveable,"Central, with radiators, powered by methane",Independent,G165.92 kWh/m² year
722,Milan,via SALVIO GIULIANO  4,Washington,WASHINGTON VERCELLI 3P5I - 02/19/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,120,3,5,8 floors,,Available from 09/04/2025,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemWindow frames in glass / metalDouble exposure,1620.0,€ 440/month,"€ 4,860",1965,Excellent / Refurbished,"Central, floor heating, powered by methane",,F170 kWh/m² year
1615,Milan,Via Carlo Maderno,Ascanio Sforza,affmad - 03/05/2024,Rent,Apartment | Full ownership | Medium property class,70,3,3,4 floors,,Available,Optic fiberSecurity doorCentralized TV systemFurnishedWindow frames in glass / woodDouble exposure,1650.0,No condominium fees,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane",,F≥ 175 kWh/m² year
363,Milan,Via Conca del Naviglio,Corso Genova,CNC - 02/18/2024,Rent,Apartment | Full ownership | Stately property class,75,2,4,6 floors,,,Electric gateOptic fiberAlarm systemSecurity doorExternal exposureClosetBalconyFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / wood,1650.0,€ 270/month,Not indicated,1930,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",G243 kWh/m² year
1516,Milan,Via San Mansueto,Bocconi,sanmansueto4 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,60,2,1,7 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetTerraceSingle tv systemFurnishedShared gardenWindow frames in double glass / woodDouble exposure,1650.0,€ 100/month,Not indicated,2012,Excellent / Refurbished,"Central, floor heating, gas powered","Independent, cold/hot",B≥ 175 kWh/m² year
597,Milan,Via Panfilo Castaldi,Repubblica,Panfilo Castaldi - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,83,2,4,5 floors,,Available,Electric gateVideo entryphoneSecurity doorExternal exposureFull day conciergeOnly Kitchen FurnishedCellarWindow frames in glass / wood,1650.0,€ 250/month,Not indicated,1930,Good condition / Liveable,"Central, with radiators",,F163.04 kWh/m² year
1086,Milan,Via Conservatorio,Palestro,3031 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,56,1,1,8 floors,,Available,Electric gateFull day conciergeCentralized TV systemFurnished,1650.0,€ 300/month,Not indicated,1950,Excellent / Refurbished,"Central, air heating, powered by methane","Independent, cold/hot",F273.52 kWh/m² year
798,Milan,Via Parmigianino,De Angeli,Parmigianino tre locali - 02/26/2024,"Rent, agreed",Apartment | Full ownership | Stately property class,87,3,1,4 floors,"1 in garage/box, 1 in shared parking",Available,Centralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVCDouble exposure,1650.0,€ 200/month,"€ 4,950",1939,Excellent / Refurbished,"Central, with radiators",,F≥ 175 kWh/m² year
985,Milan,Via Correggio,Amendola - Buonarroti,FabrCorr12 - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,77,2,3,5 floors,,Available,Optic fiberSecurity doorClosetFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / woodDouble exposure,1650.0,€ 150/month,"€ 4,950",1920,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold/hot",F112.44 kWh/m² year
1925,Milan,Via Savona,Solari,A076 - 10/04/2023,"Rent, 4+4",Apartment | Full ownership | Stately property class,61,2,0,1 floor,,,AtticInternal exposureFurnishedShared gardenWindow frames in double glass / PVC,1650.0,€ 47/month,"€ 4,950",2023,New / Under construction,"Independent, air heating, powered by heat pump","Independent, cold/hot",A≥ 175 kWh/m² year
28,Milan,Via Pietro Gassendi,Certosa,BPF GASSENDI - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,73,2,3,4 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,1650.0,€ 300/month,"€ 3,300",1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",F≥ 175 kWh/m² year
475,Milan,"via Valparaiso, 10",Solari,A009970 - 02/29/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,100,3,5,6 floors,,,Security doorBalconyFull day conciergeFurnishedWindow frames in double glass / wood,1650.0,€ 350/month,Not indicated,1960,Excellent / Refurbished,"Central, powered by methane",,E78.58 kWh/m² year
63,Milan,Via Francesco Guicciardini,Piave - Tricolore,60guic - 02/27/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,60,2,1,5 floors,,Available,Electric gateOptic fiberVideo entryphoneInternal exposureClosetFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / wood,1650.0,€ 150/month,"€ 4,950",1930,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",G160.33 kWh/m² year
1051,Milan,Viale Vittorio Veneto,Porta Venezia,VV2A - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,66,2,2,5 floors,1 in garage/box,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureFurnishedWindow frames in glass / wood,1650.0,€ 150/month,"€ 4,950",,Excellent / Refurbished,"Central, with radiators, gas powered","Central, cold",E101 kWh/m² year
1991,Milan,Via Savona,Solari,A074 - 10/04/2023,"Rent, 4+4",Apartment | Full ownership | Stately property class,54,2,0,1 floor,,Available,Internal exposureClosetFurnishedCellar,1650.0,€ 48/month,"€ 4,950",2023,New / Under construction,"Independent, air heating, powered by heat pump","Independent, cold/hot",
1575,Milan,Via Panfilo Castaldi,Porta Venezia,EK-109456783 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Economic property class,50,2,1,5 floors,1 in shared parking,Available,Optic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyHalf-day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / metal,1650.0,€ 350/month,"€ 4,950",2006,Excellent / Refurbished,"Central, air heating, powered by heat pump","Independent, cold/hot",C102.06 kWh/m² year
738,Milan,Via Spartaco,Cadore,AMI-SPA28 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,65,2,1,5 floors,,Available,Optic fiberSecurity doorInternal exposureHalf-day conciergeFurnished,1650.0,€ 300/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E115.26 kWh/m² year
254,Milan,Via Carlo Botta,Porta Romana - Medaglie dOro,"Via Botta, 7 - 03/06/2024","Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,3,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureBalconyTerraceHalf-day conciergeSingle tv systemFurnishedCellarWindow frames in double glass / wood,1650.0,€ 170/month,"€ 4,950",1970,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",D95.22 kWh/m³ year
95,Milan,Via Giovanni Prati,Sempione,PR12B6 - 02/28/2024,Rent,Apartment | Full ownership | Stately property class,60,2,2,16 floors,,Available,Optic fiberVideo entryphoneSecurity doorExternal exposureBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in glass / wood,1650.0,€ 350/month,"€ 4,950",,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",C157 kWh/m² year
1214,Milan,Via Giuseppe Ripamonti,Vigentino - Fatima,EK-109040991 - 03/06/2024,"Rent, 3+2",Apartment | Full ownership | Stately property class,110,3,6,6 floors,,Available from 01/05/2024,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemPartially furnishedShared gardenWindow frames in double glass / woodDouble exposure,1650.0,€ 350/month,"€ 4,950",1970,Good condition / Liveable,"Central, with radiators, powered by methane",,G≥ 175 kWh/m² year
1831,Milan,Via Giuseppe Ugolini,Greco - Segnano,EK-107223609 - 02/16/2024,Rent,Apartment | Full ownership,60,2,1,2 floors,1 in shared parking,Available,KitchenTerraceFurnishedExposure west,1650.0,€ 150/month,"€ 4,950",1920,Excellent / Refurbished,Independent,Cold/hot,D182 kWh/m² year
1387,Milan,via solari,Solari,48067 - 02/12/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,55,2,2,5 floors,,Available,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemShared gardenWindow frames in double glass / PVCDouble exposure,1666.0,€ 149/month,Not indicated,2020,Excellent / Refurbished,"Central, floor heating, powered by heat pump","System predisposition, cold/hot",A21 kWh/m² year
1706,Milan,Viale Gabriele DAnnunzio,Corso Genova,BILOCALE CON BALCONE - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,3,6 floors,,Available,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemCellarShared gardenWindow frames in double glass / woodDouble exposure,1666.0,€ 506/month,"€ 9,996",1960,Good condition / Liveable,"Central, with radiators, gas powered",,D≥ 175 kWh/m² year
1383,Milan,via monferrato,Washington,48026 - 12/15/2023,"Rent, 4+4",Apartment | Full ownership | Stately property class,85,3,1,3 floors,,Available,Security doorBalconyFull day conciergeCentralized TV systemShared gardenWindow frames in double glass / PVCDouble exposure,1666.0,€ 333/month,Not indicated,1970,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",G220.19 kWh/m² year
1385,Milan,Via Gabriele DAnnunzio,Corso Genova,48042 - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,3,6 floors,,Available,Security doorBalconyFull day conciergeCentralized TV systemWindow frames in double glass / woodDouble exposure,1666.0,€ 201/month,Not indicated,1960,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",D98.82 kWh/m² year
1173,Milan,Via Andrea Solari,Solari,A2174I - 02/27/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,53,2,2,4 floors,,Available,Security doorBalconyFull day conciergeCentralized TV systemOnly Kitchen FurnishedWindow frames in double glass / metalDouble exposure,1666.0,€ 148/month,Not indicated,1930,Excellent / Refurbished,"Central, floor heating, powered by methane",,A31.95 kWh/m² year
1420,Milan,Via Andrea Solari,Solari,VIA SOLARI ADIACENZE PARCO - 01/16/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,62,2,2,5 floors,,Available,Optic fiberVideo entryphoneSecurity doorBalconyFull day conciergeTV system with satellite dishOnly Kitchen FurnishedWindow frames in double glass / woodDouble exposure,1667.0,€ 149/month,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, powered by methane",System predisposition,G290 kWh/m² year
1478,Milan,Piazzale Antonio Cantore,Corso Genova,PIAZZALE CANTORE - DARSENA - 01/16/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,69,2,3,7 floors,,Available,Optic fiberVideo entryphoneSecurity doorFull day conciergeCentralized TV systemCellarWindow frames in double glass / woodDouble exposure,1667.0,€ 200/month,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, powered by methane",,G290 kWh/m² year
748,Milan,Via Andrea Solari,Solari,SOLARI 56 MQ - 01/31/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,56,2,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorBalconyFull day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in triple glass / woodDouble exposure,1667.0,€ 152/month,"€ 10,000",1920,Excellent / Refurbished,"Central, floor heating, gas powered",System predisposition,A135.54 kWh/m² year
1463,Milan,Via Giovanni De Castro,Washington,VIA DE CASTRO - VERCELLI - 01/16/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,90,3,1,3 floors,,Available,Optic fiberVideo entryphoneSecurity doorBalconyFull day conciergeCentralized TV systemOnly Kitchen FurnishedShared gardenWindow frames in double glass / PVCDouble exposure,1667.0,€ 330/month,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",G290 kWh/m² year
726,Milan,Via della Sila,Città Studi,058 - 03/01/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,80,2,1,5 floors,,Available,Video entryphoneSecurity doorExternal exposureClosetCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,1680.0,€ 200/month,"€ 5,040",1940,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",F261.93 kWh/m² year
8,Milan,Via Pier Paolo Pasolini,Cascina Merlata - Musocco,BTR_T65002 - 12/21/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,100,3,4,11 floors,1 in garage/box,Available,Optic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemPartially furnishedCellarShared gardenWindow frames in double glass / PVCDouble exposure,1690.0,€ 270/month,"€ 5,090",2023,New / Under construction,"Central, floor heating, powered by district heating","Central, cold/hot","A2≥ 3,51 kWh/m² year, almost zero energy building"
1967,Milan,via Pirandello,Washington,Affitto attico bilocale via Pirandello (1452122) - 02/28/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,64,2,6,6 floors,,Available,Electric gateSecurity doorInternal exposureFull day conciergeCentralized TV systemFurnished,1690.0,€ 130/month,Not indicated,1952,Excellent / Refurbished,"Central, powered by methane","Independent, cold",G186 kWh/m² year
62,Milan,Via Ruggero di Lauria,Sempione,LAU_B9.2 - 02/02/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,57,2,9,9 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureClosetBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1700.0,€ 80/month,Not indicated,1968,Excellent / Refurbished,"Independent, floor heating, powered by heat pump","Independent, cold",B91.31 kWh/m² year
1168,Milan,Via Pietro Colletta,Lodi - Brenta,Via Colletta - TRILOCALE - Occasione - 02/04/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,75,3,3,5 floors,,Available,Electric gateOptic fiberSecurity doorBalconyFull day conciergeCentralized TV systemWindow frames in glass / metalDouble exposure,1700.0,€ 170/month,"€ 5,100",1940,Excellent / Refurbished,"Independent, with radiators, gas powered",,G≥ 175 kWh/m² year
1905,Milan,Viale Stelvio,Zara,STV2090 - 11/28/2023,"Rent, 3+2",Apartment | Full ownership | Stately property class,95,3,1,4 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureBalconyFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / wood,1700.0,€ 390/month,"€ 5,100",1900,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",F≥ 175 kWh/m² year
1293,Milan,Via degli imbriani,Bovisa,60817310 - 03/04/2024,Rent,Apartment | Full ownership,73,3,0,6 floors,,Available,Full day conciergeFurnishedPrivate garden,1700.0,€ 200/month,Not indicated,1930,Excellent / Refurbished,"Central, with radiators, powered by methane",System predisposition,G307 kWh/m² year
1198,Milan,Via Bernardo Rucellai,Precotto,MV7 - 02/12/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,110,3,3,3 floors,1 in garage/box,Available,Optic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetBalconyFull day conciergePoolSingle tv systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1700.0,€ 600/month,"€ 3,800",1970,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",F412.84 kWh/m² year
1402,Milan,Via Pietro Colletta,Porta Romana - Medaglie dOro,W-02V0IR - 02/29/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,88,2,2,3 floors,,Available,Security doorBalconyCentralized TV systemFurnishedCellarWindow frames in glass / woodDouble exposure,1700.0,€ 200/month,Not indicated,1920,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold/hot",G235 kWh/m² year
188,Milan,"Via Ruggero di Lauria,18",Sempione,17982 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,50,2,0,5 floors,,Available from 25/03/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,1700.0,No condominium fees,"€ 3,400",1975,Excellent / Refurbished,"Independent, with radiators, powered by methane",,C175 kWh/m² year
1305,Milan,Via Laura Ciceri Visconti,Martini - Insubria,ciceri_visconti - 02/14/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,95,3,5,7 floors,,Available,Security doorBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,1700.0,€ 300/month,"€ 3,400",1970,Excellent / Refurbished,"Central, floor heating, powered by district heating","Central, cold",F160 kWh/m² year
1810,Milan,VIA AJACCIO,Città Studi,33491011-162 - 02/07/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,85,2,1,5 floors,,Available,BalconyTV system with satellite dishFurnishedCellarWindow frames in double glass / PVCDouble exposure,1700.0,€ 200/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E169.82 kWh/m² year
1600,Milan,Via Pietro Colletta,Porta Romana - Medaglie dOro,EK-109487921 - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,85,3,3,5 floors,,Available,Optic fiberFull day conciergeCentralized TV systemShared gardenWindow frames in glass / woodDouble exposure,1700.0,€ 180/month,"€ 5,640",1930,Good condition / Liveable,"Independent, with radiators, powered by methane",,
1839,Milan,Via Cervignano (ang. Via Cena),Martini - Insubria,CB442 -(190828) - 02/19/2024,"Rent, 4+4 | Income property",Apartment | Full ownership | Stately property class,70,2,6,8 floors,2 in garage/box,Available from 01/08/2023,Security doorBalconyTerraceFurnishedCellar,1700.0,€ 200/month,Not indicated,2009,Excellent / Refurbished,Independent,,B35.24 kWh/m² year
651,Milan,Viale Regina Giovanna,Porta Venezia,EK-109205477 - 02/25/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,100,3,2,7 floors,,Available,Optic fiberSecurity doorInternal exposureBalconyHalf-day conciergeCentralized TV systemShared gardenWindow frames in glass / wood,1700.0,€ 300/month,"€ 5,100",1930,To be refurbished,"Central, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
353,Milan,Via Melchiorre Gioia,Isola,26558 - 01/30/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,60,2,5,7 floors,,Available,Optic fiberSecurity doorExternal exposureClosetCentralized TV systemFurnishedCellarWindow frames in double glass / metal,1700.0,€ 200/month,Not indicated,1950,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",
730,Milan,Via Padre Massimiliano Kolbe,Porta Vittoria,EK-102861598 - 02/19/2024,Rent,Apartment | Full ownership,130,3,5,8 floors,,Available,"ReceptionKitchenBalconyFurnishedShared gardenWindow frames in glass / woodExposure north, south",1700.0,€ 400/month,"€ 5,100",1970,Good condition / Liveable,Central,Cold/hot,G212 kWh/m² year
1287,Milan,Piazza Morbegno 3,Pasteur,000A3 - 02/26/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,75,3,4,4 floors,,Available,Optic fiberExternal exposureBalconyTerraceTV system with satellite dishFurnishedCellarWindow frames in double glass / metal,1700.0,€ 250/month,Not indicated,1930,Excellent / Refurbished,"Central, with radiators, powered by methane",,G≥ 175 kWh/m² year
504,Milan,"Via Molino delle Armi,15",Ticinese,124819 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,50,2,2,,,Available from 27/02/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,1700.0,No condominium fees,"€ 3,400",,Excellent / Refurbished,,,C175 kWh/m² year
129,Milan,Via Flavio Stilicone,Cenisio,EK-107128863 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,65,2,1,3 floors,,Available,Optic fiberSecurity doorExternal exposureClosetTerraceHalf-day conciergeTV system with satellite dishFurnishedCellarWindow frames in triple glass / metal,1700.0,€ 120/month,"€ 5,100",2023,New / Under construction,"Central, floor heating","Independent, cold/hot","A3≥ 3,51 kWh/m² year"
1691,Milan,Via Paolo Frisi,Porta Venezia,EK-108568281 - 02/19/2024,Rent,Apartment | Full ownership,45,2,4,4 floors,,Available,ReceptionKitchenFurnishedShared gardenWindow frames in double glass / woodExposure east,1700.0,€ 200/month,"€ 5,100",1884,Excellent / Refurbished,Central,Cold/hot,F163 kWh/m² year
1785,Milan,via Federico Confalonieri,Isola,M170 - 01/22/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,55,2,4,5 floors,,Available,Video entryphoneSecurity doorHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / metalDouble exposure,1700.0,€ 125/month,"€ 5,100",1900,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",F167.83 kWh/m² year
966,Milan,Via Pietro Colletta,Lodi - Brenta,EK-109950531 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,93,3,3,6 floors,,Available,Electric gateOptic fiberExternal exposureBalconyFull day conciergeCentralized TV systemShared gardenWindow frames in glass / wood,1700.0,€ 170/month,"€ 5,100",1903,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",
1882,Milan,Viale Toscana,Ripamonti,65729 - 02/13/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,60,2,1,3 floors,,Available,Optic fiberVideo entryphoneSecurity doorFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / wood,1700.0,€ 200/month,Not indicated,2019,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",A162.56 kWh/m² year
1125,Milan,Via Archimede,Indipendenza,A5 - 02/08/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,60,2,1,4 floors,1 in garage/box,Available,FireplaceOptic fiberSecurity doorClosetCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,1700.0,€ 250/month,"€ 5,100",1930,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold/hot",G147.97 kWh/m² year
